layer,channel,neuron_id,downstream_correct_count,downstream_total_activations,downstream_full_activation_count
conv4,86,conv4_86,824834,379648806,0
conv5,127,conv5_127,816733,334190713,5
conv3,177,conv3_177,825218,205200652,170
conv6,23,conv6_23,798645,254859535,0
conv8,275,conv8_275,674721,31496020,0
conv6,496,conv6_496,811313,233925746,0
conv7,430,conv7_430,577040,215038377,0
conv5,237,conv5_237,823598,362091408,0
conv5,419,conv5_419,804166,325956128,0
conv7,21,conv7_21,606224,225747682,0
conv3,16,conv3_16,794956,163808987,0
conv2,19,conv2_19,825230,191259836,0
conv5,378,conv5_378,825208,373745534,0
conv5,474,conv5_474,806710,351792296,3
conv6,55,conv6_55,737197,230681701,0
conv4,18,conv4_18,825102,378627738,0
conv6,231,conv6_231,747478,225435810,0
conv2,68,conv2_68,825230,199533828,1
conv3,184,conv3_184,802442,161381999,68
conv7,459,conv7_459,531650,185197279,0
conv5,192,conv5_192,762377,316410722,2
conv8,380,conv8_380,705157,39728321,0
conv7,32,conv7_32,605050,229283416,0
conv7,238,conv7_238,592497,197893544,0
conv7,51,conv7_51,559476,209557938,0
conv6,272,conv6_272,674505,201030118,0
conv3,187,conv3_187,825229,204028459,110
conv4,255,conv4_255,825196,392716800,0
conv3,214,conv3_214,823855,186049942,0
conv6,418,conv6_418,791643,253273624,0
conv6,179,conv6_179,782816,244250691,0
conv5,331,conv5_331,823026,350558584,0
conv5,148,conv5_148,824053,355463621,0
conv5,400,conv5_400,815419,333241541,1
conv5,345,conv5_345,821531,361076032,17
conv7,171,conv7_171,446836,159341349,0
conv6,440,conv6_440,780583,228732954,0
conv7,274,conv7_274,591092,221466109,0
conv6,28,conv6_28,792221,243306791,0
conv6,122,conv6_122,801503,257356573,0
conv7,427,conv7_427,548609,195975814,0
conv2,40,conv2_40,825230,191148272,49
conv3,26,conv3_26,825228,203784130,481
conv6,258,conv6_258,787454,249083549,0
conv5,435,conv5_435,824212,370854107,9
conv7,69,conv7_69,611913,223567980,0
conv5,76,conv5_76,817268,342627708,0
conv7,4,conv7_4,495987,179667012,0
conv6,399,conv6_399,814437,250955781,0
conv7,29,conv7_29,382161,143069388,0
conv7,41,conv7_41,671105,252057453,0
conv8,410,conv8_410,701266,38659297,0
conv5,488,conv5_488,824625,366413239,0
conv4,9,conv4_9,825214,386147581,0
conv7,162,conv7_162,581880,220712145,0
conv7,126,conv7_126,518044,191883738,0
conv5,89,conv5_89,798249,322326403,0
conv8,25,conv8_25,694769,38452878,0
conv3,99,conv3_99,825225,202189160,215
conv7,312,conv7_312,491774,184293303,0
conv5,104,conv5_104,804597,339392150,0
conv5,18,conv5_18,823138,378086897,0
conv8,480,conv8_480,592869,30284232,0
conv2,118,conv2_118,825230,201986583,48
conv7,181,conv7_181,524583,190793230,0
conv3,209,conv3_209,825228,199920578,0
conv8,16,conv8_16,786963,71408916,0
conv8,314,conv8_314,668417,33927398,0
conv5,263,conv5_263,792896,338384943,0
conv2,48,conv2_48,825230,187013962,1
conv6,431,conv6_431,667457,203130544,0
conv4,177,conv4_177,825223,386842672,1
conv3,81,conv3_81,825226,196093459,2
conv6,304,conv6_304,800242,258599182,0
conv5,311,conv5_311,800359,353891594,1
conv1,24,conv1_24,131313,15481972,108
conv4,215,conv4_215,825050,390838285,0
conv4,230,conv4_230,824545,385682229,0
conv6,166,conv6_166,739930,228049378,0
conv7,322,conv7_322,561772,196028087,0
conv8,217,conv8_217,665894,33778713,0
conv6,189,conv6_189,771765,237370451,0
conv7,438,conv7_438,485541,174931101,0
conv3,130,conv3_130,820811,196860267,39
conv4,39,conv4_39,825107,391345930,9
conv5,145,conv5_145,789801,336731616,6
conv4,252,conv4_252,824548,375922355,2
conv2,109,conv2_109,825230,194622242,0
conv8,225,conv8_225,683205,39295433,0
conv8,199,conv8_199,729606,46436651,0
conv5,91,conv5_91,818477,349177053,40
conv6,466,conv6_466,786881,241340944,0
conv8,497,conv8_497,700353,45789841,0
conv5,319,conv5_319,825111,359950755,9
conv6,168,conv6_168,793523,256785803,0
conv5,85,conv5_85,746267,322066576,0
conv8,501,conv8_501,758675,55451357,0
conv8,292,conv8_292,646463,34969272,0
conv5,84,conv5_84,799214,346351583,0
conv4,210,conv4_210,825172,388840232,29
conv4,115,conv4_115,825162,397505856,0
conv5,178,conv5_178,817920,344785097,1
conv5,367,conv5_367,788196,348077208,0
conv6,203,conv6_203,797182,255235665,0
conv5,13,conv5_13,817584,350310673,14
conv8,301,conv8_301,735816,47000232,0
conv3,3,conv3_3,824289,190017222,25
conv2,10,conv2_10,825203,181693629,0
conv8,162,conv8_162,725574,48858613,0
conv4,157,conv4_157,825189,387450564,0
conv7,103,conv7_103,583522,208752240,0
conv1,37,conv1_37,825197,85925343,32
conv8,483,conv8_483,563624,22379802,0
conv7,357,conv7_357,582245,216783000,0
conv8,425,conv8_425,739426,50736582,0
conv6,428,conv6_428,642149,190126948,0
conv4,133,conv4_133,825133,380208179,0
conv6,297,conv6_297,774622,249774262,0
conv3,22,conv3_22,825229,200692430,0
conv6,343,conv6_343,773047,240013015,0
conv8,132,conv8_132,581931,31941912,0
conv6,456,conv6_456,772457,247619940,0
conv7,183,conv7_183,471211,181100446,0
conv8,399,conv8_399,504423,24986118,0
conv7,5,conv7_5,497805,182102882,0
conv3,151,conv3_151,825200,203339751,77
conv8,468,conv8_468,729861,50087551,0
conv5,373,conv5_373,762895,312319211,0
conv6,251,conv6_251,791463,251060085,0
conv5,325,conv5_325,823464,353565205,1
